case_id,description,target_length_frames,base_fps,computed_duration_seconds,seed,steps,cfg,speed,motion_amplitude,nag_scale,nag_alpha,nag_tau,enhance,interpolation,upscale_ratio,crf,lora_strength,postprocess_enabled,ui_workflow,api_prompt,prompt_id,status,outputs
p03_detail_push,"More steps, stronger CFG, and stronger enhancement for detail.",120,16.0,7.4375,260531120,10,1.35,5.0,1.0,11.5,0.25,2.6,1.2,2,1.0,18,0.85,False,,,231343dc-3a8e-4655-99b8-3b6b182e962f,success,output:WAN/agent_tests/cms_wan22_loop_120/wan120-matrix-20260531-224759/p03_detail_push_OG_00001.mp4; temp:WAN/agent_tests/cms_wan22_loop_120/wan120-matrix-20260531-224759/p03_detail_push_FS_00001.mp4
p04_motion_push,Higher sampling speed and motion amplitude for stronger movement.,120,16.0,7.4375,260531120,8,1.15,7.0,1.4,11.0,0.25,2.373,1.0,2,1.0,19,0.8,False,,,84e302c6-9b8e-4e9f-b572-558690060717,success,output:WAN/agent_tests/cms_wan22_loop_120/wan120-matrix-20260531-224759/p04_motion_push_OG_00001.mp4; temp:WAN/agent_tests/cms_wan22_loop_120/wan120-matrix-20260531-224759/p04_motion_push_FS_00001.mp4
p05_smooth_motion,"Lower speed and motion amplitude to test smoother, steadier movement.",120,16.0,7.4375,260531120,8,1.05,4.0,0.8,9.5,0.22,2.2,1.05,2,1.0,18,0.8,False,,,b61e1cbf-ff0e-4768-aaa5-e0ff06b55896,success,output:WAN/agent_tests/cms_wan22_loop_120/wan120-matrix-20260531-224759/p05_smooth_motion_OG_00001.mp4; temp:WAN/agent_tests/cms_wan22_loop_120/wan120-matrix-20260531-224759/p05_smooth_motion_FS_00001.mp4
