profile_id,profile_description,unet_high,unet_low,lora_high,lora_low,case_id,description,target_length_frames,base_fps,computed_duration_seconds,seed,steps,cfg,speed,motion_amplitude,nag_scale,nag_alpha,nag_tau,enhance,interpolation,upscale_ratio,crf,lora_strength,postprocess_enabled,ui_workflow,api_prompt,prompt_id,status,outputs
m03_q8_svi_pro,Dasiwa q8 High/Low GGUF with SVI Wan2.2 I2V A14B v2.0 Pro High/Low LoRA pair.,WAN2.2\DasiwaWAN22I2V14BTastysinV8_q8High.gguf,WAN2.2\DasiwaWAN22I2V14BTastysinV8_q8Low.gguf,WAN2.2\SVI_Wan2.2-I2V-A14B_high_noise_lora_v2.0_pro.safetensors,WAN2.2\SVI_Wan2.2-I2V-A14B_low_noise_lora_v2.0_pro.safetensors,p01_baseline,"Current prompt, fixed seed, 120-frame baseline.",120,16.0,7.4375,260531120,8,1.2,5.0,1.0,11.0,0.25,2.373,1.0,2,1.0,19,0.8,False,,,eea33153-7ca2-4667-8ba0-ff3442a78618,success,output:WAN/agent_tests/cms_wan22_loop_120/wan120-model-lora-20260601-010537/m03_q8_svi_pro/p01_baseline_OG_00001.mp4; temp:WAN/agent_tests/cms_wan22_loop_120/wan120-model-lora-20260601-010537/m03_q8_svi_pro/p01_baseline_FS_00001.mp4
m03_q8_svi_pro,Dasiwa q8 High/Low GGUF with SVI Wan2.2 I2V A14B v2.0 Pro High/Low LoRA pair.,WAN2.2\DasiwaWAN22I2V14BTastysinV8_q8High.gguf,WAN2.2\DasiwaWAN22I2V14BTastysinV8_q8Low.gguf,WAN2.2\SVI_Wan2.2-I2V-A14B_high_noise_lora_v2.0_pro.safetensors,WAN2.2\SVI_Wan2.2-I2V-A14B_low_noise_lora_v2.0_pro.safetensors,p02_low_guidance,Lower CFG and NAG to check whether artifacts decrease.,120,16.0,7.4375,260531120,8,0.95,5.0,1.0,8.5,0.2,2.1,0.9,2,1.0,19,0.75,False,,,b9be6bcc-a4bc-432c-bdce-c42c9fd8d5ea,success,output:WAN/agent_tests/cms_wan22_loop_120/wan120-model-lora-20260601-010537/m03_q8_svi_pro/p02_low_guidance_OG_00001.mp4; temp:WAN/agent_tests/cms_wan22_loop_120/wan120-model-lora-20260601-010537/m03_q8_svi_pro/p02_low_guidance_FS_00001.mp4
m03_q8_svi_pro,Dasiwa q8 High/Low GGUF with SVI Wan2.2 I2V A14B v2.0 Pro High/Low LoRA pair.,WAN2.2\DasiwaWAN22I2V14BTastysinV8_q8High.gguf,WAN2.2\DasiwaWAN22I2V14BTastysinV8_q8Low.gguf,WAN2.2\SVI_Wan2.2-I2V-A14B_high_noise_lora_v2.0_pro.safetensors,WAN2.2\SVI_Wan2.2-I2V-A14B_low_noise_lora_v2.0_pro.safetensors,p03_detail_push,"More steps, stronger CFG, and stronger enhancement for detail.",120,16.0,7.4375,260531120,10,1.35,5.0,1.0,11.5,0.25,2.6,1.2,2,1.0,18,0.85,False,,,d9b26597-48e4-4d11-a120-d284cbfcb311,success,output:WAN/agent_tests/cms_wan22_loop_120/wan120-model-lora-20260601-010537/m03_q8_svi_pro/p03_detail_push_OG_00001.mp4; temp:WAN/agent_tests/cms_wan22_loop_120/wan120-model-lora-20260601-010537/m03_q8_svi_pro/p03_detail_push_FS_00001.mp4
m03_q8_svi_pro,Dasiwa q8 High/Low GGUF with SVI Wan2.2 I2V A14B v2.0 Pro High/Low LoRA pair.,WAN2.2\DasiwaWAN22I2V14BTastysinV8_q8High.gguf,WAN2.2\DasiwaWAN22I2V14BTastysinV8_q8Low.gguf,WAN2.2\SVI_Wan2.2-I2V-A14B_high_noise_lora_v2.0_pro.safetensors,WAN2.2\SVI_Wan2.2-I2V-A14B_low_noise_lora_v2.0_pro.safetensors,p04_motion_push,Higher sampling speed and motion amplitude for stronger movement.,120,16.0,7.4375,260531120,8,1.15,7.0,1.4,11.0,0.25,2.373,1.0,2,1.0,19,0.8,False,,,65eab1ea-e2e9-4401-9321-0562e83186d3,success,output:WAN/agent_tests/cms_wan22_loop_120/wan120-model-lora-20260601-010537/m03_q8_svi_pro/p04_motion_push_OG_00001.mp4; temp:WAN/agent_tests/cms_wan22_loop_120/wan120-model-lora-20260601-010537/m03_q8_svi_pro/p04_motion_push_FS_00001.mp4
m03_q8_svi_pro,Dasiwa q8 High/Low GGUF with SVI Wan2.2 I2V A14B v2.0 Pro High/Low LoRA pair.,WAN2.2\DasiwaWAN22I2V14BTastysinV8_q8High.gguf,WAN2.2\DasiwaWAN22I2V14BTastysinV8_q8Low.gguf,WAN2.2\SVI_Wan2.2-I2V-A14B_high_noise_lora_v2.0_pro.safetensors,WAN2.2\SVI_Wan2.2-I2V-A14B_low_noise_lora_v2.0_pro.safetensors,p05_smooth_motion,"Lower speed and motion amplitude to test smoother, steadier movement.",120,16.0,7.4375,260531120,8,1.05,4.0,0.8,9.5,0.22,2.2,1.05,2,1.0,18,0.8,False,,,e00515ce-06cb-462d-9381-ddedce263f29,success,output:WAN/agent_tests/cms_wan22_loop_120/wan120-model-lora-20260601-010537/m03_q8_svi_pro/p05_smooth_motion_OG_00001.mp4; temp:WAN/agent_tests/cms_wan22_loop_120/wan120-model-lora-20260601-010537/m03_q8_svi_pro/p05_smooth_motion_FS_00001.mp4
m04_q8_cumv2,Dasiwa q8 High/Low GGUF with Wan22 CumV2 High/Low LoRA pair.,WAN2.2\DasiwaWAN22I2V14BTastysinV8_q8High.gguf,WAN2.2\DasiwaWAN22I2V14BTastysinV8_q8Low.gguf,WAN2.2\Wan22_CumV2_High.safetensors,WAN2.2\Wan22_CumV2_Low.safetensors,p01_baseline,"Current prompt, fixed seed, 120-frame baseline.",120,16.0,7.4375,260531120,8,1.2,5.0,1.0,11.0,0.25,2.373,1.0,2,1.0,19,0.8,False,,,d3314c75-c1d7-4e18-8381-15e4caa0d023,success,output:WAN/agent_tests/cms_wan22_loop_120/wan120-model-lora-20260601-010537/m04_q8_cumv2/p01_baseline_OG_00001.mp4; temp:WAN/agent_tests/cms_wan22_loop_120/wan120-model-lora-20260601-010537/m04_q8_cumv2/p01_baseline_FS_00001.mp4
m04_q8_cumv2,Dasiwa q8 High/Low GGUF with Wan22 CumV2 High/Low LoRA pair.,WAN2.2\DasiwaWAN22I2V14BTastysinV8_q8High.gguf,WAN2.2\DasiwaWAN22I2V14BTastysinV8_q8Low.gguf,WAN2.2\Wan22_CumV2_High.safetensors,WAN2.2\Wan22_CumV2_Low.safetensors,p02_low_guidance,Lower CFG and NAG to check whether artifacts decrease.,120,16.0,7.4375,260531120,8,0.95,5.0,1.0,8.5,0.2,2.1,0.9,2,1.0,19,0.75,False,,,18a04649-1999-4ea6-b6dd-be500a5f50fe,success,output:WAN/agent_tests/cms_wan22_loop_120/wan120-model-lora-20260601-010537/m04_q8_cumv2/p02_low_guidance_OG_00001.mp4; temp:WAN/agent_tests/cms_wan22_loop_120/wan120-model-lora-20260601-010537/m04_q8_cumv2/p02_low_guidance_FS_00001.mp4
m04_q8_cumv2,Dasiwa q8 High/Low GGUF with Wan22 CumV2 High/Low LoRA pair.,WAN2.2\DasiwaWAN22I2V14BTastysinV8_q8High.gguf,WAN2.2\DasiwaWAN22I2V14BTastysinV8_q8Low.gguf,WAN2.2\Wan22_CumV2_High.safetensors,WAN2.2\Wan22_CumV2_Low.safetensors,p03_detail_push,"More steps, stronger CFG, and stronger enhancement for detail.",120,16.0,7.4375,260531120,10,1.35,5.0,1.0,11.5,0.25,2.6,1.2,2,1.0,18,0.85,False,,,26cf6251-0a96-49a4-8a0b-0ce81d9ac7fd,error,
